title,abstract
Collaborative Research: The Militarized Dispute Data 2015-2024 and Beyond,NA
NSF-BSF: Collaborative Research: Market Conduct in Technology Adoption in the Automobile Industry,"abstract antitrust enforcement research has mostly focused on price and quantity collusion, even though antitrust law encompasses more ways to collude. this project will explore the causes and welfare consequences of automakers colluding on the adoption of emission control technologies. the project focuses on automakers that have been alleged to have colluded on adopting diesel exhaust fluid (def) tanks that were too small to effectively clean up nitrogen oxide (nox), a major contributor to air pollution. the project will investigate how the alleged collusion by automakers concealed violation of nox emissions regulation. the project will quantify the effects of the alleged collusion on nox pollution damages, car buyer surplus, and firm profits. these effects inform the proper amount of antitrust penalties to remedy welfare damages of such collisions. finally, the project will examine whether and how environmental and antitrust regulation can mitigate inefficiencies from technology collusion. the project will build and estimate a structural model of consumer vehicle demand and automaker technology choice, and simulate counterfactual policies. the project utilizes a comprehensive new data set on vehicle prices, sales, and characteristics. a novel feature of the employed structural model is that the probability of non-compliance detection for one firm depends on other firms' behavior as well as its own. a more dispersed distribution in choices may cause a regulator to question why some firms need to use large def tanks while others apparently manage with small tanks. by coordinating on small tanks, the automakers simultaneously reduce the probability of being detected by the regulator and make their vehicles more attractive to car buyers (as the tank reduces cargo space, a valuable vehicle feature). with the model and estimates of consumer tastes and automaker costs, the project will conduct counterfactual simulation to explore the following issues: (i) quantify the benefit of strengthening the enforcement of emission standards; (ii) calculate the anti-competitive damage of technology collusion compared to the competitive counterfactual; and (iii) identify the demand and supply conditions most conducive to technology collusion. the project advances the economics research and has regulatory and policy implications on firm collusion, antitrust enforcement, and industry standards."
"Collaborative Research: Understanding and overcoming the impediments to high-risk, high-return science","scientific inquiry involves taking risks. every experiment, every analysis, every collaboration entails embarking on a path whose destination is uncertain and whose terminus could be a dead end. yet, not all projects are equally risky. in choosing what to work on, scientists have the latitude to embrace or avoid. appropriately high risk can bring high return, while excessive caution hampers scientific progress. thus, scientists and the public alike have an interest in encouraging researchers to pursue suitably risky projects, yet investigators often shy away from taking the big risks that may generate the most productive science. this project unpacks the incentives that investigators face when choosing how much risk to take on in their scientific careers. the project illuminates why researchers may shy away from the most promising but risky ideas, and asks how scientific norms and institutions can be modified to motivate researchers to pursue the most promising ideas while still protecting their livelihoods from the vicissitudes of scientific chance. this understanding can help accelerate the pace of scientific discovery, enhancing the public?s return on its investment in scientific research. the researchers develop, analyze, and communicate mathematical models of how scientists balance the competing incentives and constraints that they face when constructing and pursuing their research programs. these models apply the tools of economics and decision theory to the practice of scientific research, and blaze new ground by focusing specifically on scientists? risk-taking and its consequences for scientific debate and the formation of scientific consensus. one component of the research examines how scientists? tradition of preferentially publishing successful projects encourages or discourages risk-taking, and how alternative models for scientific publication might shift scientists? tolerance for risk. a second component builds on recent mathematical developments in the theory of imprecise probability to develop a more expansive view of how scientists navigate the thick uncertainty that defines work at the scientific frontier. the researchers engage closely with funders, research administrators, journal editors and publishers, and other stakeholders to direct the research and share its outcomes, ensuring that the discoveries that the research yields are used to promote high-risk, high-return science."
Collaborative Research: Behavioral Science and the Making of the Right-Reasoning Public Health Citizenry,"this award supports a collaborative research project that investigates how behavioral models in public health produce normative ideas about what it means to be a reasonable public health citizen. behavioral science plays a pivotal, but understudied, role in shaping public health and policy responses to global health issues. at this critical juncture for both public policy and public health in the wake of the covid-19 pandemic, the team will investigate the models of moral reasoning and citizenship embedded in public health behavioral science in the u.s. more generally, this research investigates how predictive and explanatory models for public health behavior also create normative models for moral reasoning and public health citizenship. research findings will be shared in two science and technology studies articles, an article for health policymakers and practitioners, and a commentary written for a public audience. the team will offer substantial training and mentorship to graduate research assistants; convene a practice-based workshop with master of public health students and master of public policy students; and write a pedagogical article about the workshop. this is a project that studies the historical precedents and contemporary practices of behavioral science in public health. the team of researchers on the project will investigate the following research questions: how are normative images of the right-reasoning public health citizenry produced through public health behavioral science? how have these normative images acquired authority in the governance of health? how have these normative images been maintained in the face of resistance to expert authority? the team will employ methods of archival research and document analysis to develop a comparative analysis of principal behavioral models. by developing a theoretical conceptualization of the right-reasoning public health citizenry, the results of this project will serve to reconfigure public health sovereignty and citizenship, and open space for reflection and critical examination of behavioral science expertise in public policy."
Collaborative Research: Precedent-Altering Opinions and Collegiality on the Supreme Court,"this project will investigate the role judicial collegiality plays in the supreme court decision-making process, with a particular focus on how relationships shift when the court uses its most significant powers of altering past decisions and overturning acts of congress. like many americans, supreme court justices go to work everyday and, for a multitude of reasons, work amiably with their colleagues and show respect for their views and positions. collegiality is the key to any functioning workplace, but it is especially important at the supreme court, where the justices regularly engage with each other to resolve the difficult questions that color the court?s docket. yet the supreme court is empowered to alter the legal status quo by reviewing acts of congress or reconsidering its own past decisions, and that power stands to make collegiality the most and least important factor in the judicial decision-making process. investigating these relationships requires collecting past judicial communications and using those papers to study judicial collegiality. by collecting, digitizing, and analyzing data from the rehnquist court, this project will enhance scholarly understanding of the role of collegiality at the supreme court while simultaneously creating a data source that scholars can use to study wide swaths of the otherwise-private supreme court decision-making process. after the analysis is complete, those documents will be publicly disseminated via an accessible online resource that scholars, journalists, professors, teachers, and the public can use to better understand the court, its members, and its work. justice john paul stevens's recently-released papers offer memos, personal notes, and opinion drafts from when he joined the court in 1975 through 2004. these papers are particularly useful for studying judicial collegiality because they cover a period where the court's membership was steady and the justices on that court communicated almost exclusively on paper (1994-2004). this project will collect the between 17,000 and 24,000 documents in the stevens papers associated with the 880 cases the supreme court decided between the 1994 and 2004 terms, digitize them, and then use the texts to study the justices' relationships by examining (1) their engagement with each other during the decision-making process; (2) the tone they take while engaging with each other; and (3) the final voting coalitions. the analysis will also examine if and how judicial relationships shift when the justices consider altering precedent or using judicial review. this project is jointly funded by the law and science program and the established program to stimulate competitive research."
"Collaborative Research: DRMS:Group cognition, stress arousal, and environment feedbacks in decision making and adaptation under uncertainty","to solve complex problems, such as the sustainable use of ground water, diverse people must cooperate to share resources in uncertain environments. this project proposes and tests a model of the interdependence between stress, cognition, changes in the abundance of resources, and group decision-making. the model contributes to the science of group decision-making by investigating how stress (biology) and resources (the environment) impact how groups make decisions. the model seeks to explain why some groups of diverse people coalesce and effectively manage shared resources in uncertain environments, while others fail. the results of the project inform decision-makers faced with complex challenges related to climate variability, public health, and defense by building tools for diverse teams to cultivate systems thinking, manage shared resources, and improve cooperation over time. the project also broadens participation in online education and systems thinking skills. this project develops and tests an embedded model of adaptive capacity (eacm). the eacm proposes that the capacity of groups to continually solve complex problems depends on the ability of individuals to cognize key challenges in a resource system and to converge on joint solutions to those challenges. the eacm couples resource dynamics with individual variation in mind-body systems through the process of group sensemaking. sensemaking occurs when groups create an understanding of their environment and form joint plans of action for cooperation. the project tests the eacm through behavioral experiments and manipulation of stress. formal models of the systems dynamics of group decision-making aid in generalizing the results of the experiments. the project pushes the boundaries of theory by converging the study of cognition with the study of stress arousal in strategic decision-making, generating a more integrated explanation for the biological and cognitive foundations of adaptive teams. the results of the project enhance online education and systems thinking skills for diverse students and teams."
Collaborative Research Data Afterlives: The long-term impact of NSF Data Management Plans on data archiving and sharing for increased access,"in 2011, the national science foundation began requiring that all funded projects provide data management plans (dmps) to ensure that project data, computer codes, and methodological procedures were available to other scientists for future use. however, the extent to which these data management requirements have resulted in more and better use of project data remains an open question. this project thus investigates the national science foundation?s dmp mandate as a national science policy and examines the broad impacts of this policy across a strategic sample of five disciplines funded by the national science foundation. it considers the organization and structure of dmps across fields, the institutions involved in data sharing, data preservation practices, the extent to which dmps enable others to use secondary project data, and the kinds of data governance and preservation practices that ensure that data are sustained and accessible. systematic investigation of the impact of dmps and data sharing cultures across fields will assist funding agencies and research scientists working to produce reproducible and open science by identifying barriers to data archiving, sharing, and access. the principal investigators will use project findings to develop data governance guidelines for information professionals working with scientific data and to articulate best practices for scientific communities using dmps for data management. this project aims to enhance understanding of the role data management plans (dmps) play in shaping data lifecycles. it does so by examining dmps across five fields funded by the national science foundation to understand data practices, archiving and access issues, the infrastructures that support data sharing and reuse, and the extent to which project data are later used by other researchers. in phase i, the investigators will gather a strategic sample of dmps representing a wide range of data types and data retention practices from different scientific fields. phase ii consists of forensic data analysis of a subset of dmps to discover what has become of project data. phase iii develops detailed case studies of research project data lifecycles and data afterlives with qualitative interviews and archival documentary analysis to help develop best practices for sustainable data preservation, access, and sharing. phase iv will translate findings into data governance recommendations for stakeholders. the project thus contributes to research about contemporary studies of scientific data production and circulation while assessing the effect of dmps as a national science policy initiative affecting data management practices in different scientific communities. the comparative research design and mixed methods enables theory building about cross-disciplinary data practices and data cultures across fields and advances knowledge within data studies, information management studies, and science and technology studies."
"Collaborative Research: Time-Sharing Experiments for the Social Sciences (TESS): Proposal for Renewed Support, 2020-2023","time-sharing experiments for the social sciences (tess) provides a platform for social scientists to conduct survey experiments on probability-based sample of united states adults. tess democratizes access to high-quality, original experimental data, thereby putting the power of population-based survey experiments in the hands of researchers from all backgrounds, types of academic institutions, and career stages. tess capitalizes on economies of scale by pooling expenses from otherwise separate studies, and makes all its data publicly available, providing an unparalleled archive of social science experimental stimuli and data that can be used for replications, re-analyses, and meta-analyses. tess accepts proposals from researchers at any career stage across the social sciences. these proposals are peer-reviewed, and the best are selected to be fielded. tess fields projects using the norc amerispeak panel, which is the highest-quality probability-based internet panel available for surveying us adults. because tess performs a large number of studies on this panel, we achieve significant cost savings than what the studies would cost if each were funded separately. tess uses the open science framework to archive all data and make it publicly available, and we will also be working with the roper center?s ipoll database to make tess data even more accessible to secondary users."
"Collaborative Research: State Health, Institutions, and Politics Survey (SHIPS)","the state health, institutions, and politics survey (ships) project will give the research community access to large-scale state-by-state survey data collected at multiple points in time. ships will enable scholars, policymakers, and citizens to explore the evolution of public attitudes about state and federal policies; trust in institutions, policymakers, and experts; economic, social, and psychological well-being; perceptions of domestic and international threats; and a wide variety of other topics. researchers from heterogenous geographic locations, institutions, career stages, and demographic groups will get access to the project?s infrastructure and data. investigators will be able to use ships to identify variations in outcomes due to state institutions, history, and policies, as well as employing cutting-edge social science methods to identify causes of public beliefs. the scale of the project will allow researchers to examine public opinion not only across states, but also among specific subgroups that often evade study (e.g., people with low income or education). the project will engage students as part of the research team, as well as offering curriculum development and hands-on training. ships will generate academic papers, public-facing reports, and make data trends easily digestible with interactive visualization and online dashboards. the main goal of the state health, institutions, and politics survey is to provide high-quality state-level longitudinal data on public opinion, allowing researchers to track and document cross-country trends. the research team has developed and validated an approach that allows for the regular collection and post-stratification weighting of large census-balanced samples from every state and washington, dc. large-scale survey waves with up to 25,000 respondents will be fielded at regular time intervals. the sample size will enable exploring heterogeneous effects and examining outcomes for small, difficult to study population subgroups. the project will also be flexible and reactive to sudden events that could prompt the need for immediate data collection. ships will give scholars access to survey modules and results via a competitive application process. half or more of the survey content fielded in each wave funded by this grant will be designed by applicants whose peer-reviewed proposals have been accepted. successful applicants will have exclusive access to the collected data for one year, at which point it will be made public. the project thus aims to democratize access to high-quality, original multi-wave survey data."
"Collaborative Research: U.S. institutions after COVID-19: Trust, accountability, and public perceptions","covid-19 upended social, economic, and political systems throughout the world. the united states has faced particular challenges due to its heterogeneity and federal nature. the covid states project is a large-scale data collection that includes over-time data from diverse state-level samples. the project tracks state-level post-pandemic recovery, studying topics such as trust in institutions, information acquisition and impact, accountability, and economic inequality. it also documents how federal and state policies affect the populace when it comes to these topics. further, the covid states project provides access to researchers from all backgrounds, types of academic institutions, and career stages through a competition for survey module time and provides a user-friendly website with data trackers for use by researchers, students, journalists, policymakers, and the public. the covid states project conducts over-time state-level surveys from all 50 states and d.c. each survey includes up to 30,000 total respondents, using quota sampling by state. this allows for generalizable inferences at the state and national levels. post-pandemic data provide an unprecedented opportunity for novel over-time and across-space research designs. the project over-samples demographic minority respondents to facilitate study of heterogeneous social groups. this includes data on trust in political figures and institutions, knowledge and information, political evaluations, behavioral adaptation, physical health, economic well-being, mental health, and more. it also contains detailed social network batteries that allow for the study of inter-household and inter-group transmission of health and information. this is complemented by twitter data from survey respondents who allow it. this enables the project to identify information sharing and study political discourse."
Collaborative Research: FW-HTF-RM: AI-Assisted Programming: Equipping Social and Natural Scientists for the Future of Research,"computer programming is essential for modern science. scientists write programs to control instruments, run simulations, and analyze data. however, the programming tools and techniques that scientists use often lag behind those in the software engineering industry. this lag makes scientific discovery slower, more costly, and can lead to unreproducible results. in the past two years, artificial intelligence (ai) tools, such as chatgpt, have revolutionized the software industry. they have been shown to make software engineers significantly more productive, but have not had the same impact on the sciences. the goal of this research project is to develop and test ai programming tools that work for scientists. the research team is developing ai models and tools that support the programming languages that scientists use. they are developing benchmarks to evaluate the effectiveness of ai tools for programming tasks that are unique to the sciences. they are investigating how ai programming tools can help college students study science more effectively. by harnessing ai to make programming easier for scientists, the project is helping to accelerate scientific discovery, lower its cost, and allow more people to participate in scientific work. the project is developing large language models of code and associated tools to support scientists. to understand scientists' needs, the team is running qualitative and quantitative studies of how scientists write programs. based on these findings, they are developing deep neural network models for programming languages that are frequently used in the sciences, such as matlab and r, but are less commonly used in the software engineering industry. these models are particularly helpful for scientists who are not expert programmers; they can turn descriptions into computer programs, and also generate explanations of existing programs. the team is developing models that support the programming paradigms that scientists use, including computational notebooks and programs whose structure is determined by data formats. the team is developing code generation models that can be deployed on private, ""air gapped"" networks, making them suitable for scientists working in sensitive fields, including energy and defense."
Collaborative Research: Science with the People: Collaborative analysis of government data for policy reach and structural change in environmentally contested regions,"this project supports residents to use government data to document and examine patterns of health and wellbeing in their communities. using health data that has been collected by government agencies enables community members to answer some of the questions they may have about illness in relation to the places they live. by working with residents to analyze and interpret official data, the residents? own insights about their health and environment will be augmented by the science they are helping to produce. the project will build researcher, community, and institutional capacity to continue collaborative science work on environmental health justice and health equity beyond the project. the results of the project will be disseminated by public events in which residents are key speakers as well as in press conferences, social media, blogs, and articles. the project team will initially analyze data from government sources, such as cancer registries and medicaid databases, to produce initial health data about patterns of health and illness. in partnership with communities, open collaborative workshops will be held where local people will discuss the initial data and ask additional health questions for the team to try to answer with the data, which the researchers will then share in a follow-up workshop. this iterative workshop method enables local community members to participate in the analyses and interpretation of government-generated health data, making the science more relevant to their lives. the scientific reports produced from these public workshops may be used by local residents to support their health claims towards regulatory and policy change. this process of using community-based collaborative workshops to analyze and interpret government data to answer local questions can be replicated for many kinds of data and a variety of community questions. to facilitate this, the final project deliverable is an online manual explaining how residents in other states or regions can replicate this process to produce their own data analyses from government sources."
Collaborative Research: Direct Lending in the U.S. Middle Market,"abstract the tightening of regulation in the u.s. banking sector following the financial crisis of 2008 contributed to a surge of alternative nonbank lenders and, in particular, business development companies (bdcs). this sector has expanded rapidly over the last two decades. this project will construct an extensive database and conduct the first systematic analysis of the bdc sector. the project will focus on these new lenders and provide insights into an important yet understudied segment of the u.s. economy - the middle market, which accounts for a third of private-sector employment. specifically, the project will investigate the impact of nonbank lending on middle-market firms and economic growth. overall, the project will have important policy implications for the role of financial intermediation in the economy. by constructing a novel database, this project will advance the body of knowledge on nonbank lending. first, the project will investigate the causes of the bdc sector growth and analyze their role in financing middle-market firms. the granularity of the dataset will additionally allow to characterize the borrowers targeted and lending solutions offered. second, the project will use the location information of bdc portfolio companies to estimate the real effects of these direct lenders on middle-market firms and, more broadly, on local economic growth. third, the project will investigate how access to capital markets affects investment activities of direct lenders. finally, since bdcs provide funding to firms without relying on deposit insurance, they put forward a new lending model that may offer an improvement to the current deposit-based banking system. to understand the effects of this alternative lending mechanism, the project will develop a quantitative framework to conduct a welfare analysis of transitioning to a new lending environment."
Collaborative Research: Corporate Net Zero Goals for Decarbonization,"to mitigate climate change, a growing coalition of governments, businesses, and other institutions have adopted ?net zero? goals and engaged in decarbonization, an energy transition process that results from the replacement of fuels with high carbon content by those with low carbon content. this project examines three interrelated questions: why are some companies communicating their adoption of different types of net zero goals while others are not? what activities are associated with net zero goals? what are the outcomes of net zero communication and activities on firms? financial performance and media coverage? this project benefits society by exploring the factors that shape businesses? involvement in the development of the market for clean energy. the project constructs three datasets. first, a corporate decarbonization communication dataset includes all corporate communications related to net zero and climate change mitigation goals for u.s. fortune 1000 companies during the 2015-2024 period. researchers collect these data by searching firms? websites and annual reports and coding corporate communication of general climate change mitigation statements and specific net zero goals. second, investigators collect data on corporate decarbonization activities by applying text analysis to the corporate decarbonization communication dataset and by collecting information from third parties. third, a corporate decarbonization media coverage dataset draws from all articles from major newspapers that mention climate change and net zero during the 2015-2024 period. researchers extract the full text of all climate and environment-related major news articles associated with each of these firms, and filter, clean, and code these articles. these are then converted into annual indicators and analyzed using panel-based statistical methods."
"Collaborative Research:  Varieties of Crises, Elite Responses, and Executive Approval","this award is funded in whole or in part under the american rescue plan act of 2021 (public law 117-2. this project examines four major types of crises -- economic, security, natural disaster, and public health crises ? and how they influence public support for political leaders in contemporary democracies. this is important to understand because leader approval is a key barometer of policymaker accountability and democratic stability, both of which can be undermined by crises. this project analyzes the interplay of four factors which vary systematically across these different types of crises and how, in turn, these shape public evaluations of political executives: (1) the ability of citizens to assign responsibility for policy decisions and outcomes; (2) the degree of expert consensus on effective policy response; (3) how much a given crisis in one area generates acute challenges or crises in other areas; and (4) the extent to which an effective response depends on citizens acting collectively. several data sets including (quarterly) measures of executive approval and crises; the tone and salience of leader messaging about the crises; the media?s treatment of leader messaging; and (monthly) leader approval for a smaller number of countries for which such data is available; and survey-based experiments in three countries are collected and made publicly available. the award supports education and diversity by building the research capacity of a student project lab at georgia state university, a minority serving institution, in coordination with pis at four other universities who will also engage graduate and undergraduate students in this work. puzzling divergences across countries in public reactions to leader responses to the covid-19 public health crisis have revealed major gaps in our understanding of how crisis events translate into public assessments of leaders. to resolve these puzzles, this project advances a unifying theoretical framework that identifies four major types of crises: economic, security, natural disaster, and public health. it then locates these crises on four key dimensions which should condition public support of top officials: the institutional and political context and other factors that impact attribution of responsibility, degree of expert consensus and incentives for politicians to follow expert recommendations, the likelihood and nature of spill-over to other crisis types, and the degree to which citizen action is required for an effective response. the project collects data to test theoretically-motivated hypotheses using: 1) a macro time-series cross-national data set to study the effects of crisis type on public approval for political executives for 48 countries, 2) a high-frequency time-series data set appropriate to test how approval dynamics reflect leader responses, as well as messaging choices and media effects for 18 countries for which this data is available, and 3) conjoint experiments in france, italy, and mexico, countries with different political and institutional settings, to assess the validity of the links between crisis types and dimensions as well as to validate proposed individual-level mechanisms. this project is supported by the accountable institutions and behavior program and the sbe build and broaden program."
Collaborative Research: Intermediaries and Product Selection in the Municipal Bond Market,"abstract state and local governments rely on municipal bonds to finance investments in infrastructure. they are often complex financial products, specifying a variety of special provisions, such as flexible maturities and unique redemption clauses. such provisions in a bond may be tailored to the financial needs of investors and the issuing local government, but they may also make it difficult to evaluate and compare alternatives. using detailed data on bond transactions, the project will quantify the effects of bond provisions on market liquidity, intermediary competition, and cost of local government funding. the insight from this analysis will have implications for policies on municipal bond market structure, the cost of local government funding, and infrastructure investment costs. the project will highlight the impact of product attributes on search frictions in the municipal bond market. the research will document how financial institutions' dual role as underwriters and dealers may affect product design, steering toward highly customized and complex products. exploiting variations in state regulations to limit government officials' conflicts of interests, the project will investigate how special provisions in a bond may increase both its illiquidity and its underwriter?s market power in secondary trades. building on these findings, the research will construct and estimate a model of bond issuance and trades, which accounts for rich heterogeneity in the factors that affect bond design: investor demand, dealer costs, and issuer preferences. employing the estimated model, the project will quantify market inefficiency and discuss policy implications."
"Collaborative Research: Gender, Politics, and Environmental Concern","this project investigates gender differences in how individuals form attitudes about climate policy across countries. the research helps us understand how societies manage environmental risks. climatic shifts have been shown to increase both interpersonal and inter-group conflict in every world region, meaning that mitigating climate change is a matter of national security. understanding how to gain support among those most skeptical in high carbon-emitting economies is key to forming effective policy. this project identifies the material and psychological sources of public support for and resistance to climate mitigation policies around the world. it will develop three new public datasets and associated qualitative materials, encouraging replication and extensions, and contributes to education and research infrastructure. in wealthy nations, women tend to express more concern about climate change than men. yet the gender gap in climate attitudes does not exist in poorer countries. this project develops a new theory to explain how political elites shape citizens' perceptions of the costs and benefits of climate action in ways that vary across countries (by economic development) and by gender within countries. we test this theory by collecting and analyzing four data sets: (1) a 60-country dataset on major parties' climate policies; (2) a 60-country dataset on media references to the winners and losers of climate action; (3) qualitative case studies in seven countries to investigate the development of climate policy frames; and (4) a survey experiment in five countries to gauge how policies that lessen the perceived costs of climate action differently affect policy support among men and women. this project is co-funded by the accountable institutions and behavior (aib) and the security and preparedness (sap) programs."
Collaborative Research: SBP: Socioeconomic Mobility of Young Adults Without College Degrees: Understanding Transition Between Jobs,"a high-quality job paves the way for upward socioeconomic mobility for a young adult by providing more income and career progression opportunities. unfortunately, many young adults without postsecondary degrees spin their wheels between low-wage jobs. this project examines factors less reliant on formal education that may facilitate or counteract changes in job quality among young adults without postsecondary degrees. this project provides insights to workers about personal actions they can take while searching for and adjusting to new jobs to improve job quality. for employers and managers, this project clarifies how job tasks and the work environment can facilitate worker development and reduce turnover costs. findings further inform the design of programs aiming to support young workers moving into better-quality jobs, including programs serving youth from low-income families. this project advances knowledge by developing and testing models that explain how individual factors (e.g., socioeconomic mobility beliefs), family background (e.g., social class origin), and work and nonwork environmental factors (e.g., workplace practices and government programs) drive changes in job quality. the project team is collaborating with the minnesota department of employment and economic development and the new jersey department of labor and workforce development to collect data and analyze administrative records. the project team is surveying workers aged 18-29 without postsecondary degrees and unemployed at the beginning of the study. additional rounds of surveys are being fielded as participants search for and adjust to new job(s) over the course of one year. survey responses are being paired with administrative records. this project extends understanding of the role of behavioral processes during job transitions in intra-generational socioeconomic mobility. this project also contributes to knowledge about the interplay between individual agency and contextual factors shaped by family, work organizations, and government agencies during transitions into early adulthood."
"Research Community Development Grant: Collaborative Research: Knowledge of HIV/AIDS: Expertise, Participation, and the Archive in the Long Pandemic","this research community development (rcd) project brings together social scientific and humanistic scholars of hiv/aids situated within the interdisciplinary field of science and technology studies (sts). the core goal is to support community formation, the exchange of ideas, and to foster novel cutting edge research to synthesize knowledge of this long pandemic. activities will be organized to bridge past findings of social studies of hiv/aids with contemporary trajectories in the field focused around three core themes: the archive, expertise, and participation. social and humanistic scholarship on the hiv/aids epidemic in north america has distinct phases. the period prior to 1996, before effective treatments for hiv, was marked by a wide array of scholarship on the pandemic. however, public attention to hiv/aids experienced a decline and fragmentation after more effective treatments became available ? sometimes with the mistaken rationale that the pandemic was over (or at least well-managed) and coupled to a ?second silence? in public attention to aids. biomedical innovation has resulted in treatments that can enable a person living with hiv to live a lifespan comparable to that of an hiv-negative person. however, antiretroviral therapies are not cures, they come with side effects, require access to resources and stability to remain in care (from health insurance to housing), are dependent on the pharmaceutical industry, and overall, have not ended the pandemic locally or globally. four decades into the pandemic, even as many countries proclaim that they will end their hiv/aids epidemics by 2030, there is no actual end in sight. hiv has become a long pandemic, one that is both exceptional while also overlapping with many ongoing human rights, economic and public health crises. this rcd project aims to overcome the intellectual fragmentation that accompanied the second silence on hiv/aids in sts and its constituent disciplines by creating infrastructure to support a scholarly community around these topics. this project will assemble a productive research community via a series of three annual workshops; by developing an online forum for coordination; by supporting new research collaborations with small grants; and by creating a robust mentorship program that will pair early career scholars with more established scholars. the project will support the next generation of scholars focused on social studies of illness and will seek to develop general insight for both long-standing and emerging pandemics."
Collaborative Research: FW-HTF-RL: Building an Inclusive Future of Work: Accessible Collaboration for Visually Impaired Information Workers,"information workers use digital collaboration tools for project management, preparing and sharing documents and presentations, and team communication and coordination. people who are blind or low vision are performing computer-based work at increasing rates, yet only 44% of the 8.1 million visually impaired americans are employed. while advances in collaboration tools (e.g., shared document editors, video conferencing, and chat platforms) make it possible to work together in new ways and create new career opportunities, these tools remain largely inaccessible for blind workers. more than 2 billion people worldwide use collaboration tools on a monthly basis, yet learning to use them with a screen reader ? software blind people use to read and navigate a graphical display ? is extremely challenging. for example, collaborative writing tools offer only partial access for screen reader users, making it difficult to understand where other team members are working in a shared document. this project advances future ai-augmented collaboration tools and creates a more equitable and inclusive future of work by improving job-related skill development, increasing worker self-efficacy, and providing access to all aspects of teamwork experienced by current and future information workers. this project is grounded in formative research and close partnership with four disability service organizations across orange county, ca and chicago, il that serve as the primary work contexts and both employ visually impaired information workers as well as offer training and placement programs. this research contributes: (1) foundational knowledge of accessibility needs for blind information workers through a taxonomy of accessibility barriers and provides design guidelines for ai-powered collaboration tools; (2) an accessible infrastructure of new interaction techniques and ai-augmented tools that support ability-diverse team communication, coordination, and knowledge sharing; (3) an open-source online community that fosters peer learning and support; (4) empirical evidence of system effectiveness for individual and collaborative interaction, skill development, self-efficacy, and collaboration readiness; and (5) a multidisciplinary consortium that will impact on industry products and policy related to the future of accessible work, ai, and equity in the tech industry. an integrated evaluation plan assesses individual and collaborative interaction with the systems as well as large-scale naturalistic use by blind workers and those seeking employment. to further ensure the project?s broader impact, an advisory board includes experts from industry, disability law, and public policy."
